"propertyURL","id","address","price","property","area","type","bedrooms","bathrooms","tenure","Nearest Station Name","Nearest Station Distance"
"https://rightmove.co.uk/properties/124239002#/?channel=RES_BUY","124239002","Vinnetrow Road, Runcton, Chichester, PO20","£80,000","","","Detached","×3","×1","Ask agent","Chichester Station","1.5 miles"
"https://rightmove.co.uk/properties/125042168#/?channel=RES_BUY","125042168","104 Ockford Road, Godalming, Surrey, GU7","£200,000","","","Terraced","×3","Freehold","Godalming Station","0.4 miles"
"https://rightmove.co.uk/properties/125479694#/?channel=RES_BUY","125479694","North Ham Road, Littlehampton","£210,000","","112.3","Terraced","×3","×1","Freehold","Littlehampton Station","0.2 miles"
"https://rightmove.co.uk/properties/125422979#/?channel=RES_BUY","125422979","Havant Road, Hayling Island, Hampshire, PO11 0PB","£219,590","","","Lodge","×3","Ask agent","Warblington Station","3.6 miles"
"https://rightmove.co.uk/properties/125139176#/?channel=RES_BUY","125139176","Merlin Close, Waterlooville","£220,000","","","Terraced","×3","×1","Freehold","Rowlands Castle Station","3.3 miles"
"https://rightmove.co.uk/properties/120453509#/?channel=RES_BUY","120453509","Basingstoke, Hampshire, RG22","£225,000","","","End of Terrace","×3","×2","1,178 sq. ft.","Freehold","Basingstoke Station","1.5 miles"
"https://rightmove.co.uk/properties/124920164#/?channel=RES_BUY","124920164","4 Chalkridge Road, Portsmouth, Hampshire, PO6 2BE","£235,000","","","Semi-Detached","×3","Freehold","Cosham Station","0.7 miles"
"https://rightmove.co.uk/properties/124041704#/?channel=RES_BUY","124041704","West Ham Close, Basingstoke","£240,000","","","End of Terrace","×3","×1","Freehold","Basingstoke Station","1.5 miles"
"https://rightmove.co.uk/properties/125247215#/?channel=COM_BUY","125247215","Pack Lane, Basingstoke, Hampshire, RG22","£249,950","","","Plot","×4","Basingstoke Station","2.2 miles"
"https://rightmove.co.uk/properties/85161165#/?channel=RES_BUY","85161165","Basingstoke, Hampshire, RG24","£250,000","","","Terraced","×3","×1","Freehold","Basingstoke Station","1.0 miles"
"https://rightmove.co.uk/properties/125384588#/?channel=RES_BUY","125384588","Blendworth Crescent, Havant, PO9","£250,000","","90.6","Terraced","×3","×1","Freehold","Havant Station","0.6 miles"
"https://rightmove.co.uk/properties/123277880#/?channel=RES_BUY","123277880","Timsbury Crescent, Bedhampton, Havant, Hampshire","£250,000","","","Terraced","×3","×1","Freehold","Bedhampton Station","0.4 miles"
"https://rightmove.co.uk/properties/123256289#/?channel=RES_BUY","123256289","Celandine Close, Crawley, West Sussex","£250,000","","","Terraced","×4","×1","Freehold","Ifield Station","1.1 miles"
"https://rightmove.co.uk/properties/125159519#/?channel=RES_BUY","125159519","Hipley Road, Havant, Hampshire","£250,000","","","Terraced","×3","×1","Freehold","Havant Station","0.5 miles"
"https://rightmove.co.uk/properties/123499541#/?channel=RES_BUY","123499541","Millard Close, Basingstoke, Hampshire, RG21","£250,000","","","End of Terrace","×3","×1","Freehold","Basingstoke Station","0.7 miles"
"https://rightmove.co.uk/properties/124673735#/?channel=RES_BUY","124673735","Inkpen Walk, Havant, Hampshire, PO9","£260,000","","","End of Terrace","×3","×2","Freehold","Bedhampton Station","1.7 miles"
"https://rightmove.co.uk/properties/125484944#/?channel=RES_BUY","125484944","Chaucer Road, Farnborough, GU14","£260,000","","","Terraced","×3","×1","Freehold","Farnborough Station","0.7 miles"
"https://rightmove.co.uk/properties/120872777#/?channel=RES_BUY","120872777","London Road, Horndean, Waterlooville","£260,000","","","Semi-Detached","×3","×1","Freehold","Rowlands Castle Station","2.4 miles"
"https://rightmove.co.uk/properties/121414337#/?channel=RES_BUY","121414337","Butler Close, Basingstoke","£260,000","","","Terraced","×3","×2","Freehold","Basingstoke Station","1.7 miles"
"https://rightmove.co.uk/properties/125182988#/?channel=RES_BUY","125182988","Little Hackets, Havant, Hampshire, PO9","£260,000","","","Terraced","×3","×2","Freehold","Havant Station","1.2 miles"
"https://rightmove.co.uk/properties/85755945#/?channel=RES_BUY","85755945","Linnet Close, Waterlooville, Hampshire, PO8","£260,000","","","Terraced","×3","×1","Freehold","Rowlands Castle Station","3.4 miles"
"https://rightmove.co.uk/properties/119362061#/?channel=RES_BUY","119362061","Kenilworth Road, Basingstoke, RG23","£260,000","","98.8","Terraced","×3","×1","Freehold","Basingstoke Station","1.6 miles"
"https://rightmove.co.uk/properties/124289948#/?channel=RES_BUY","124289948","Essex Road, Bognor Regis, West Sussex, PO21 2BU","£264,500","","","Terraced","×3","Freehold","Bognor Regis Station","0.4 miles"
"https://rightmove.co.uk/properties/125365961#/?channel=RES_BUY","125365961","Timberleys, Littlehampton, West Sussex","£265,000","","109.9","End of Terrace","×3","×1","Freehold","Littlehampton Station","1.1 miles"
"https://rightmove.co.uk/properties/125522927#/?channel=RES_BUY","125522927","North End Road, Yapton, Arundel, West Sussex","£265,000","","","Semi-Detached","×3","×1","Freehold","Ford Station","1.3 miles"
"https://rightmove.co.uk/properties/125096216#/?channel=RES_BUY","125096216","Chaffinch Green, Waterlooville, PO8","£265,000","","","End of Terrace","×3","×1","Freehold","Rowlands Castle Station","3.2 miles"
"https://rightmove.co.uk/properties/122123936#/?channel=RES_BUY","122123936","St Albans Road, West Leigh, Havant","£270,000","","","Terraced","×3","×1","Freehold","Havant Station","0.8 miles"
"https://rightmove.co.uk/properties/118464644#/?channel=RES_BUY","118464644","Packenham Road, Basingstoke","£270,000","","","House","×3","×2","Freehold","Basingstoke Station","0.8 miles"
"https://rightmove.co.uk/properties/106334768#/?channel=RES_BUY","106334768","The Croft, Stroud Green, Bognor Regis, PO21","£270,000","","70.9","Terraced","×3","×1","Freehold","Bognor Regis Station","1.1 miles"
"https://rightmove.co.uk/properties/125106263#/?channel=RES_BUY","125106263","Winchfield Crescent, Havant, Hampshire, PO9","£270,000","","","Terraced","×3","×1","Freehold","Bedhampton Station","0.9 miles"
"https://rightmove.co.uk/properties/123712724#/?channel=RES_BUY","123712724","Basingstoke, Hampshire, RG21","£270,000","","","Terraced","×3","×1","Freehold","Basingstoke Station","0.6 miles"
"https://rightmove.co.uk/properties/121644824#/?channel=RES_BUY","121644824","Basingstoke, Hampshire, RG21","£270,000","","","Terraced","×4","813 sq. ft.","(76 sq. m.)","Freehold","Basingstoke Station","0.6 miles"
"https://rightmove.co.uk/properties/124821482#/?channel=RES_BUY","124821482","West Ham Close, Basingstoke, Hampshire","£270,000","","93.4","End of Terrace","×3","×1","Ask agent","Basingstoke Station","1.5 miles"
"https://rightmove.co.uk/properties/124326785#/?channel=RES_BUY","124326785","Wicklow Close, Basingstoke, Hampshire, RG22","£275,000","","","End of Terrace","×3","×2","Freehold","Basingstoke Station","2.1 miles"
"https://rightmove.co.uk/properties/125348795#/?channel=RES_BUY","125348795","Brighton Hill","£275,000","","86.9","Terraced","×3","×1","Freehold","Basingstoke Station","2.2 miles"
"https://rightmove.co.uk/properties/124784414#/?channel=RES_BUY","124784414","Sycamore Way, Basingstoke, Hampshire, RG23","£280,000","","","Terraced","×3","×1","Freehold","Basingstoke Station","1.3 miles"
"https://rightmove.co.uk/properties/125233640#/?channel=RES_BUY","125233640","Colyer Close, South Ham, Basingstoke, Hampshire, RG22","£280,000","","","End of Terrace","×3","×1","Freehold","Basingstoke Station","1.9 miles"
"https://rightmove.co.uk/properties/119717447#/?channel=RES_BUY","119717447","Bennet Close, Oakridge, Basingstoke, RG21","£280,000","","53.6","Terraced","×3","×1","Freehold","Basingstoke Station","0.6 miles"
"https://rightmove.co.uk/properties/124431986#/?channel=RES_BUY","124431986","Ivy Crescent, Bognor Regis, West Sussex, PO22","£280,000","","66.8","Terraced","×3","×1","733 sq. ft.","Freehold","Bognor Regis Station","0.6 miles"
"https://rightmove.co.uk/properties/120289400#/?channel=RES_BUY","120289400","Coleridge Close, Goring-By-Sea, Worthing","£280,000","","","End of Terrace","×3","×1","Freehold","Goring-by-Sea Station","0.1 miles"
"https://rightmove.co.uk/properties/125385878#/?channel=RES_BUY","125385878","Sorrel Close, Waterlooville, PO7","£280,000","","86.2","Terraced","×3","×1","Freehold","Bedhampton Station","1.6 miles"
"https://rightmove.co.uk/properties/124050506#/?channel=RES_BUY","124050506","Stanley Road, Littlehampton, West Sussex","£280,000","","55.7","End of Terrace","×3","×1","Freehold","Littlehampton Station","0.6 miles"
"https://rightmove.co.uk/properties/124449434#/?channel=RES_BUY","124449434","Woodhay Walk, Havant","£280,000","","","Terraced","×3","×1","Freehold","Warblington Station","1.3 miles"
"https://rightmove.co.uk/properties/125027501#/?channel=RES_BUY","125027501","Bagshot, Surrey, GU19","£280,000","","","Semi-Detached","×3","×1","1,240 sq. ft.","Freehold","Bagshot Station","0.2 miles"
"https://rightmove.co.uk/properties/119151656#/?channel=RES_BUY","119151656","Ramshill, Petersfield","£280,000","","","Cottage","×3","×1","Freehold","Petersfield Station","0.5 miles"
"https://rightmove.co.uk/properties/125253845#/?channel=RES_BUY","125253845","Westloats Lane, Bognor Regis, PO21","£280,000","","","Semi-Detached","×3","×1","Freehold","Bognor Regis Station","0.7 miles"
"https://rightmove.co.uk/properties/85742493#/?channel=RES_BUY","85742493","Blackdown Close, Basingstoke","£280,000","","","End of Terrace","×3","×1","Freehold","Basingstoke Station","2.2 miles"
"https://rightmove.co.uk/properties/124549379#/?channel=RES_BUY","124549379","Prospect Lane, Havant, Hampshire","£285,000","","","Semi-Detached","×3","×1","Freehold","Warblington Station","1.2 miles"
